scenario,region,variables,unit,2022,2025,2030,2035,2040,2045,2050
SPS,CHA,Electricity|Alu|Hydro,%,0.192,0.216,0.194,0.177,0.174,0.175,0.175
SPS,CHA,Electricity|Alu|Coal,%,0.745,0.622,0.516,0.43,0.334,0.252,0.139
SPS,CHA,Electricity|Alu|Natural Gas,%,0,0.002,0.002,0.001,0.001,0.001,0.001
SPS,CHA,Electricity|Alu|Nuclear,%,0.006,0.016,0.022,0.027,0.033,0.039,0.039
SPS,CHA,Electricity|Alu|Wind,%,0.029,0.061,0.1,0.121,0.137,0.156,0.156
SPS,CHA,Electricity|Alu|Solar,%,0.028,0.083,0.166,0.244,0.321,0.377,0.377
SPS,CHA,Electricity|Alu|Hydrogen,%,0,0,0,0,0,0,0
SPS,CAZ,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
SPS,CAZ,Efficiency|Smelting,%,1,1,1,1,1,1,1
SPS,CHA,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
SPS,CHA,Efficiency|Smelting,%,1,1.008,1.023,1.038,1.053,1.069,1.085
SPS,EUR,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
SPS,EUR,Efficiency|Smelting,%,1,1,1,1,1,1,1
SPS,IND,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
SPS,IND,Efficiency|Smelting,%,1,1,1,1,1,1,1
SPS,JPN,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
SPS,JPN,Efficiency|Smelting,%,1,1,1,1,1,1,1
SPS,LAM,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
SPS,LAM,Efficiency|Smelting,%,1,1,1,1,1,1,1
SPS,MEA,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
SPS,MEA,Efficiency|Smelting,%,1,1,1,1,1,1,1
SPS,NEU,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
SPS,NEU,Efficiency|Smelting,%,1,1,1,1,1,1,1
SPS,OAS,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
SPS,OAS,Efficiency|Smelting,%,1,1,1,1,1,1,1
SPS,REF,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
SPS,REF,Efficiency|Smelting,%,1,1,1,1,1,1,1
SPS,SSA,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
